title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link,kecamatan,kabupaten_kota
"Rumah SHM Siap Huni Di Mlati, 2 Km Pengadilan Negeri Sleman",770000000.0,3.0,2.0,1.0,111.0,60.0,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",Aryo Wastu,2025-04-10 15:39:32.498673,"Mlati, Sleman",/properti/sleman/hos18091950/,Mlati,Sleman
Dijual Rumah Cantik Lokasi Dikota Jogja Dekat Rsud Jogja,1200000000.0,3.0,2.0,0.0,134.0,134.0,"Rumah, Dekat Pusat Perbelanjaan",Intan Nur aina,2025-04-10 15:39:32.498675,"Umbulharjo, Yogyakarta",/properti/yogyakarta/hos18091937/,Umbulharjo,Yogyakarta
"Rumah Siap Huni Di Mlati, 2 Km Dari Pengadilan Negeri Sleman",770000000.0,3.0,2.0,1.0,111.0,60.0,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",Rozaq Wastu,2025-04-10 15:39:32.498676,"Mlati, Sleman",/properti/sleman/hos18091929/,Mlati,Sleman
Dijual Rumah Cantik Lokasi Dikota Jogja Kodya Lokasi Wirosaban Dekat Pasar Telo Karangkajen,1200000000.0,3.0,2.0,0.0,134.0,134.0,"Rumah, Dekat Pusat Perbelanjaan",Intan Nur aina,2025-04-10 15:39:32.498677,"Umbulharjo, Yogyakarta",/properti/yogyakarta/hos18091923/,Umbulharjo,Yogyakarta
Dijual Rumah Cantik Lokasi Dikota Jogja Dekat Prawirotaman,1200000000.0,2.0,2.0,0.0,134.0,134.0,"Rumah, Dekat Pusat Perbelanjaan",Intan Nur aina,2025-04-10 15:39:32.498678,"Umbulharjo, Yogyakarta",/properti/yogyakarta/hos18091912/,Umbulharjo,Yogyakarta
Dijual Rumah Baru Cluster Grahadika Residence,2000000000.0,2.0,1.0,2.0,143.0,286.0,Rumah,RINTO TANIZAR,2025-04-10 15:39:32.498679,"Mlati, Sleman",/properti/sleman/hos18091896/,Mlati,Sleman
Rumah Siap Bangun Utara Stadion Maguwoharjo,720000000.0,3.0,1.0,2.0,120.0,50.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Fasilitas Kesehatan, Dekat Tempat Wisata",Rida Property,2025-04-10 15:39:32.498681,"Ngemplak, Sleman",/properti/sleman/hos18091886/,Ngemplak,Sleman
"Rumah Siap Huni Furnish 2 Lantai Di Mlati, 2 Km Rs Akademik Ugm",2160000000.0,3.0,3.0,2.0,102.0,138.0,"Rumah, Full Furnished, Siap Huni, Dekat Pusat Perbelanjaan",Aryo Wastu,2025-04-10 15:39:32.498682,"Mlati, Sleman",/properti/sleman/hos18091863/,Mlati,Sleman
"Rumah Villa Etnik Joglo Jati Lawasan + Kolamrenang Di Jl. Kaliurang Km 12,5 Dekat Kampus Uii Jogja",5000000000.0,5.0,6.0,5.0,607.0,500.0,"Rumah, Dekat Sekolah, Dekat Landmark",Nayaka,2025-04-10 15:39:32.498683,"Ngaglik, Sleman",/properti/sleman/hos18091819/,Ngaglik,Sleman
"Rumah Mewah Free Furnish Di Mlati, 2 Km Rs Akademik Ugm",2160000000.0,3.0,3.0,2.0,102.0,138.0,"Rumah, Full Furnished, Siap Huni, Dekat Pusat Perbelanjaan",Rozaq Wastu,2025-04-10 15:39:32.498684,"Mlati, Sleman",/properti/sleman/hos18091838/,Mlati,Sleman
Rumah Sleman,720000000.0,3.0,1.0,2.0,120.0,50.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Fasilitas Kesehatan",Rida Property,2025-04-10 15:39:32.498685,"Ngemplak, Sleman",/properti/sleman/hos18091816/,Ngemplak,Sleman
"Rumah Modern Etnic, Pesan Bangun Harga Murah di Sleman Timur.",495000000.0,2.0,1.0,1.0,72.0,36.0,"Rumah, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah",Yunna ciptanugraha,2025-04-10 15:39:32.498686,"Prambanan, Sleman",/properti/sleman/hos18091808/,Prambanan,Sleman
