title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link,kecamatan,kabupaten_kota
Jual Rumah Sleman Nuansa Villa Dekat Pasar Gamping Ada Pos Security,571000000.0,2.0,1.0,1.0,79.0,40.0,"Rumah, Dekat Sekolah, Dekat Fasilitas Kesehatan",DKirana Maison,2025-04-06 15:39:32.490073,"Gamping, Sleman",/properti/sleman/hos18059800/,Gamping,Sleman
Rumah di Jogja 6 Km Ke Malioboro Ada Pos Security,580000000.0,2.0,1.0,1.0,81.0,40.0,"Rumah, Dekat Sekolah, Dekat Fasilitas Kesehatan",DKirana Maison,2025-04-06 15:39:32.490074,"Gamping, Sleman",/properti/sleman/hos18059796/,Gamping,Sleman
Rumah Baru SHM Dekat Blue Lagoon Ngaglik Sleman Jogja,575000000.0,2.0,1.0,0.0,96.0,50.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Tempat Wisata",Hagi Wastu,2025-04-06 15:39:32.490099,"Ngaglik, Sleman",/properti/sleman/hos18059264/,Ngaglik,Sleman
Rumah Baru Cantik Fresh Dengan Tata Ruang Lega Dan Harga Murah Di Jalan Kaliurang Km.10 Dekat Pasar Gentan,795000000.0,3.0,2.0,1.0,112.0,80.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Landmark",Muhlisin panoramicland,2025-04-05 15:39:32.490117,"Ngaglik, Sleman",/properti/sleman/hos17945827/,Ngaglik,Sleman
Rumah Baru Di Wedomartani Utara Jogja Bay Maguwoharjo luas Ta,838000000.0,3.0,2.0,0.0,102.0,75.0,"Rumah, Dekat Sekolah",Muhlisin panoramicland,2025-04-05 15:39:32.490118,"Purwomartani , Sleman",/properti/sleman/hos17949006/,Purwomartani,Sleman
RUMAH MURAH SIAP HUNI DAN SIAP BANGUN DENGAN PRIVATE POLL,1850000000.0,4.0,3.0,2.0,118.0,126.0,"Rumah, Siap Huni, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan",Umi Roro XMJI,2025-04-05 15:39:32.490135,"Ngemplak, Sleman",/properti/sleman/hos17991468/,Ngemplak,Sleman
Rumah Baru Strategis di jalan Palagan,850000000.0,3.0,2.0,1.0,90.0,60.0,"Rumah, Dekat Sekolah",Jogjarumahcom yogyakarta,2025-04-05 15:39:32.490144,"Depok, Sleman",/properti/sleman/hos17991240/,Depok,Sleman
Rumah Baru 500jt an Pinggir Jalan Tirtomartani,599000000.0,2.0,1.0,1.0,88.0,50.0,"Rumah, Dekat Akses Transportasi, Dekat Fasilitas Kesehatan",Jogjarumahcom yogyakarta,2025-04-05 15:39:32.490151,"Ngaglik, Sleman",/properti/sleman/hos17991144/,Ngaglik,Sleman
Rumah Tingkat Eksklusive Full Furnish Di Maguwo,1700000000.0,3.0,3.0,1.0,124.0,160.0,"Rumah, Full Furnished, Siap Huni, Dekat Fasilitas Kesehatan",Yakob property GT,2025-04-05 15:39:32.490188,"Depok, Sleman",/properti/sleman/hos17989035/,Depok,Sleman
Rumah Apik Nan Baru Dekat Pamela 6 Ring Roaf Utara,1000000000.0,3.0,2.0,1.0,132.0,90.0,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",Yakob property GT,2025-04-05 15:39:32.490192,"Depok, Sleman",/properti/sleman/hos17988730/,Depok,Sleman
Hunian Lingkungan Elit Dekat Ring Road Utara,1900000000.0,4.0,3.0,1.0,140.0,110.0,"Rumah, Siap Huni, Dekat Fasilitas Kesehatan",Yakob property GT,2025-04-05 15:39:32.490194,"Depok, Sleman",/properti/sleman/hos17988407/,Depok,Sleman
Rumah Siap Huni 2 Lantai di Jl Tajem Utara Stadion Maguwo,999000000.0,3.0,3.0,1.0,103.0,100.0,"Rumah, Siap Huni, Dekat Sekolah, Dekat Fasilitas Kesehatan",Kurnia,2025-04-05 15:39:32.490242,"Condong Catur, Sleman",/properti/sleman/hos17986362/,Condong Catur,Sleman
Dijual Hunian Moderen Nyaman Strategis di Sleman Yogyakarta,592000000.0,2.0,1.0,1.0,104.0,50.0,"Rumah, Dekat Landmark",Wahyuasih Dwi Retnowati,2025-04-05 15:39:32.490247,"Mlati, Sleman",/properti/sleman/hos17986166/,Mlati,Sleman
Utara Kampus Amikom Rumah Baru Siap Huni Murah Harga 800 Jutaan,895000000.0,3.0,2.0,2.0,111.0,60.0,"Rumah, Siap Huni, Dekat Sekolah, Dekat Fasilitas Kesehatan",Novika Novie,2025-04-05 15:39:32.490251,"Ngemplak, Sleman",/properti/sleman/hos17986118/,Ngemplak,Sleman
Siap Huni Rumah Bagus Dekat Sd Model Blotan Maguwoharjo Murah,795000000.0,3.0,2.0,0.0,103.0,70.0,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",Novika Novie,2025-04-05 15:39:32.490261,"Ngemplak, Sleman",/properti/sleman/hos17985798/,Ngemplak,Sleman
Rumah 700 Jutaan Strategis Dekat Ke Uii Jalan Kaliurang Siap Huni,795000000.0,3.0,2.0,2.0,115.0,75.0,"Rumah, Siap Huni, Dekat Sekolah, Dekat Landmark",Novika Novie,2025-04-05 15:39:32.490271,"Ngemplak, Sleman",/properti/sleman/hos17985540/,Ngemplak,Sleman
Rumah Mewah 2 Lantai Super Istinewa Dengan Sisa Tanah Luas Di Wedomartani Ngemplak Sleman Dekat Jogjabay,1650000000.0,4.0,2.0,1.0,160.0,140.0,"Rumah, Dekat Sekolah, Dekat Tempat Wisata",Ayanti Sahabat Properti Jogja,2025-04-05 15:39:32.490276,"Ngemplak, Sleman",/properti/sleman/hos17978805/,Ngemplak,Sleman
Dekat Kampus Upn Seturan Rumah Siap Huni 2 Lantai Strategis Nego,1950000000.0,4.0,2.0,1.0,115.0,180.0,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",Novika Novie,2025-04-05 15:39:32.490279,"Depok, Sleman",/properti/sleman/hos17985273/,Depok,Sleman
Proses Bangun Dan Siap Bangun Lokasi Strategis Di Seyegan,507000000.0,3.0,1.0,1.0,92.0,60.0,"Rumah, Subsidi, Dekat Fasilitas Kesehatan, Dekat Tempat Ibadah",Nurul,2025-04-05 15:39:32.490281,"Ngaglik, Sleman",/properti/sleman/hos17985148/,Ngaglik,Sleman
Hunian Private Pool One Gate System Selatan Aau Berbah Jogja,1870000000.0,3.0,3.0,2.0,150.0,110.0,"Rumah, Dekat Akses Transportasi, Dekat Tempat Wisata",Mia,2025-04-05 15:39:32.490298,"Berbah, Sleman",/properti/sleman/hos17984475/,Berbah,Sleman
"Terbaru Rumah Modern Premium 600 Jt An, Fitur Smarthome di Prambanan",610000000.0,2.0,1.0,1.0,90.0,36.0,"Rumah, Dekat Akses Transportasi, Dekat Sekolah, Dekat Tempat Wisata",Arum ciptanugraha,2025-04-05 15:39:32.490302,"Kalasan, Sleman",/properti/sleman/hos17984419/,Kalasan,Sleman
